dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time
pedalme,GNAR,0.0,,2,,,,1.1516342163085938,0.0096960067749023
pedalme,IT-STGCN,0.0,,2,4.0,,5.0,1.2558454275131226,1.595633029937744
pedalme,IT-STGCN,0.0,,2,4.0,,5.0,1.2168147563934326,1.7219159603118896
pedalme,IT-STGCN,0.0,,2,12.0,,5.0,1.2492434978485107,1.420278549194336
pedalme,IT-STGCN,0.0,,2,12.0,,5.0,1.2370320558547974,0.9102039337158204
pedalme,STGCN,0.7,rand,2,12.0,linear,5.0,1.2906054258346558,0.981559991836548
pedalme,STGCN,0.7,rand,2,12.0,cubic,5.0,1.3080462217330933,0.9498307704925536
pedalme,STGCN,0.7,rand,2,4.0,linear,5.0,1.2641128301620483,0.8802940845489502
pedalme,STGCN,0.7,rand,2,4.0,cubic,5.0,2.023266553878784,0.747290849685669
pedalme,STGCN,0.3,rand,2,12.0,linear,5.0,1.2023011445999146,1.085123062133789
pedalme,STGCN,0.3,rand,2,12.0,cubic,5.0,1.2000492811203003,1.208627700805664
pedalme,STGCN,0.3,rand,2,4.0,linear,5.0,1.2315443754196167,1.0275611877441406
pedalme,STGCN,0.3,rand,2,4.0,cubic,5.0,1.269630789756775,1.1381819248199463
pedalme,STGCN,0.0,,2,4.0,,5.0,1.2365559339523315,1.4330806732177734
pedalme,STGCN,0.0,,2,4.0,,5.0,1.2650113105773926,1.2774221897125244
pedalme,STGCN,0.0,,2,12.0,,5.0,1.2237935066223145,0.8356606960296631
pedalme,STGCN,0.0,,2,12.0,,5.0,1.2391825914382937,0.7720165252685547
pedalme,IT-STGCN,0.7,rand,2,12.0,linear,5.0,1.2815892696380615,0.8735687732696533
pedalme,IT-STGCN,0.7,rand,2,12.0,cubic,5.0,1.279138207435608,1.3037936687469482
pedalme,IT-STGCN,0.7,rand,2,4.0,linear,5.0,1.2635022401809692,1.236987590789795
pedalme,IT-STGCN,0.3,rand,2,4.0,cubic,5.0,1.2531780004501345,1.093705415725708
pedalme,IT-STGCN,0.3,rand,2,4.0,linear,5.0,1.2454580068588257,0.8798303604125977
pedalme,IT-STGCN,0.3,rand,2,12.0,cubic,5.0,1.2240368127822876,1.375749111175537
pedalme,IT-STGCN,0.3,rand,2,12.0,linear,5.0,1.2406877279281616,1.0338618755340576
pedalme,IT-STGCN,0.0,,2,4.0,,5.0,1.2391784191131592,1.153679609298706
pedalme,IT-STGCN,0.0,,2,4.0,,5.0,1.236388921737671,1.192333459854126
pedalme,IT-STGCN,0.0,,2,12.0,,5.0,1.2284176349639893,1.4418351650238037
pedalme,IT-STGCN,0.0,,2,12.0,,5.0,1.2245097160339355,0.9562005996704102
pedalme,STGCN,0.7,rand,2,12.0,linear,5.0,1.2976198196411133,1.165320873260498
pedalme,STGCN,0.7,rand,2,12.0,cubic,5.0,1.3083124160766602,1.5003273487091064
